x_m,target_t,realised_t
-0.016666666666666663,3.256876158151036e-05,3.249811732132003e-05
-0.015833333333333338,3.3958828445165566e-05,3.393246407730149e-05
-0.015,3.533241389288581e-05,3.5341856785001324e-05
-0.01416666666666666,3.668285048442406e-05,3.671988957285536e-05
-0.013333333333333336,3.800336023035618e-05,3.8060186522032294e-05
-0.012499999999999997,3.928710948790679e-05,3.9356444553847965e-05
-0.011666666666666672,4.052726649826426e-05,4.0602476450333066e-05
-0.010833333333333334,4.171706090895606e-05,4.1792253640738725e-05
-0.009999999999999995,4.2849844571763954e-05,4.291994838420555e-05
-0.00916666666666667,4.3919152864111395e-05,4.3979974980026306e-05
-0.008333333333333331,4.491876575102332e-05,4.4967029641940485e-05
-0.007499999999999993,4.5842767786601453e-05,4.58761286816793e-05
-0.006666666666666668,4.668560624918924e-05,4.670264465946477e-05
-0.005833333333333329,4.7442146613456514e-05,4.744234017525725e-05
-0.0050000000000000044,4.81077245856729e-05,4.809139899407327e-05
-0.004166666666666666,4.867819396531215e-05,4.864645422147847e-05
-0.003333333333333327,4.914996964639153e-05,4.9104613271157675e-05
-0.0025000000000000022,4.952006513485812e-05,4.946347939501225e-05
-0.0016666666666666635,4.978612403285873e-05,4.9721169577233414e-05
-0.0008333333333333387,4.9946445025580845e-05,4.987632862691746e-05
0.0,5e-05,4.9928139338680914e-05
0.0008333333333333387,4.9946445025580845e-05,4.987632862701658e-05
0.0016666666666666635,4.978612403285873e-05,4.972116957743153e-05
0.0025000000000000022,4.952006513485812e-05,4.94634793953092e-05
0.003333333333333341,4.914996964639152e-05,4.9104613271552976e-05
0.004166666666666666,4.867819396531215e-05,4.864645422197179e-05
0.0050000000000000044,4.81077245856729e-05,4.809139899466397e-05
0.005833333333333329,4.7442146613456514e-05,4.744234017594461e-05
0.006666666666666668,4.668560624918924e-05,4.670264466024802e-05
0.007500000000000007,4.584276778660144e-05,4.5876128682557454e-05
0.008333333333333331,4.491876575102332e-05,4.496702964291254e-05
0.00916666666666667,4.3919152864111395e-05,4.3979974981091e-05
0.009999999999999995,4.2849844571763954e-05,4.291994838536187e-05
0.010833333333333334,4.171706090895606e-05,4.1792253641985015e-05
0.011666666666666672,4.052726649826426e-05,4.0602476451667814e-05
0.012499999999999997,3.928710948790679e-05,3.9356444555269686e-05
0.013333333333333336,3.800336023035618e-05,3.806018652353929e-05
0.014166666666666675,3.668285048442404e-05,3.671988957444577e-05
0.015,3.533241389288581e-05,3.534185678667324e-05
0.015833333333333338,3.3958828445165566e-05,3.3932464079052876e-05
0.016666666666666663,3.256876158151036e-05,3.249811732314875e-05
0.0175,3.116871853280928e-05,3.1045209949943666e-05
0.01833333333333334,2.9764994420259968e-05,2.9580081401718314e-05
0.019166666666666665,2.8363630563060028e-05,2.8108976766922864e-05
0.020000000000000004,2.6970375361881322e-05,2.663800791930616e-05
0.02083333333333333,2.5590650042766594e-05,2.517311646302326e-05
0.021666666666666667,2.4229519461950357e-05,2.3720038763142632e-05
0.022500000000000006,2.2891668088580702e-05,2.228427331622168e-05
0.02333333333333333,2.158138120093714e-05,2.0871050688723537e-05
0.02416666666666667,2.0302531253925372e-05,1.948530622233963e-05
0.024999999999999994,1.905856930264963e-05,1.8131655675129133e-05
0.025833333333333347,1.7852521299821525e-05,1.681437393612126e-05
0.026666666666666672,1.668698902458153e-05,1.553737691905014e-05
0.027499999999999997,1.5564155347705723e-05,1.4304206708535363e-05
0.02833333333333335,1.4485793493676016e-05,1.311801999968193e-05
0.029166666666666674,1.3453279924025414e-05,1.1981579840073677e-05
0.03,1.2467610438864809e-05,1.0897250651849939e-05
0.030833333333333324,1.1529419074498444e-05,9.866996481278869e-06
0.031666666666666676,1.0638999364311225e-05,8.892382394313538e-06
0.0325,9.796327527285022e-06,7.974578909291004e-06
0.033333333333333326,9.001087153051166e-06,7.114369332497484e-06
0.03416666666666668,8.252694963685706e-06,6.312159838981875e-06
0.035,7.550327249775446e-06,5.567992119970556e-06
0.03583333333333333,6.8929466008398545e-06,4.881558399680896e-06
0.03666666666666668,6.2793285771502534e-06,4.252218608381532e-06
0.037500000000000006,5.70808800048434e-06,3.6790194853116163e-06
0.03833333333333333,5.177704574534138e-06,3.1607153746076544e-06
0.03916666666666668,4.6865475807081265e-06,2.695790469724746e-06
0.04000000000000001,4.232899431126493e-06,2.2824822569819413e-06
0.04083333333333333,3.814977896949739e-06,1.9188059067550763e-06
0.04166666666666666,3.4309568661122995e-06,1.6025793614342004e-06
0.04250000000000001,3.078985519434263e-06,1.3314488724238524e-06
0.043333333333333335,2.7572058474173913e-06,1.1029147440952954e-06
0.04416666666666666,2.4637684613389553e-06,9.143570505100771e-07
0.04500000000000001,2.196846681170366e-06,7.630611007650825e-07
0.04583333333333334,1.954648909081092e-06,6.462424407478662e-07
0.04666666666666666,1.7354293206426924e-06,5.610711927247328e-07
0.047500000000000014,1.5374969262007711e-06,5.04695549281381e-07
0.04833333333333334,1.3592230721857176e-06,4.7426425446248776e-07
0.049166666666666664,1.19904746640555e-06,4.669479222657837e-07
0.05000000000000002,1.0554828226835495e-06,4.799590607048908e-07
0.05083333333333334,9.271182286976531e-07,5.105706882135276e-07
0.051666666666666666,8.126213467189132e-07,5.561334480007808e-07
0.05249999999999999,7.107395603368498e-07,6.140911448567619e-07
0.053333333333333344,6.203001814291413e-07,6.819946476385671e-07
0.05416666666666667,5.402098308289246e-07,7.57514119050042e-07
0.05499999999999999,4.6945310362050287e-07,8.38449552181886e-07
0.055833333333333346,4.070906260128406e-07,9.227396104423624e-07
0.05666666666666667,3.5225660555509523e-07,1.0084687838388486e-06
0.057499999999999996,3.0415597031705935e-07,1.0938728899480777e-06
0.05833333333333335,2.6206118579415555e-07,1.1773429622234904e-06
0.05916666666666667,2.2530883092945986e-07,1.257427581446098e-06
0.06,1.9329600697364021e-07,1.3328337180652259e-06
0.06083333333333335,1.6547664510602727e-07,1.4024261638294238e-06
0.061666666666666675,1.4135777097296208e-07,1.4652256404468217e-06
0.0625,1.204957766975467e-07,1.5204056810006135e-06
0.06333333333333332,1.024927435902951e-07,1.567288386479903e-06
0.06416666666666668,8.699285183375999e-08,1.60533916504619e-06
0.065,7.367890689665126e-08,1.634160565580771e-06
0.06583333333333333,6.22690064058031e-08,1.6534853196362214e-06
0.06666666666666668,5.2513365701981456e-08,1.6631687072098108e-06
0.0675,4.419131534675242e-08,1.6631803617880772e-06
0.06833333333333333,3.7108479437817786e-08,1.6535956289406773e-06
0.06916666666666668,3.109413972303742e-08,1.6345865904350434e-06
0.07,2.5998787162792657e-08,1.6064128624612031e-06
0.07083333333333333,2.1691859752584163e-08,1.5694122721917223e-06
0.07166666666666668,1.8059663052873298e-08,1.5239915116336928e-06
0.07250000000000001,1.500346794674405e-08,1.4706168616668398e-06
0.07333333333333333,1.2437778620586814e-08,1.409805072396023e-06
0.07416666666666666,1.0288762599534167e-08,1.3421144785999825e-06
0.07500000000000001,8.49283382807049e-09,1.2681364212387319e-06
0.07583333333333334,6.995379227724171e-09,1.1884870378117011e-06
0.07666666666666666,5.749618849780104e-09,1.1037994759549553e-06
0.07750000000000001,4.715589635060302e-09,1.0147165761494255e-06
0.07833333333333334,3.859242860769504e-09,9.218840609002948e-07
0.07916666666666666,3.151645564559254e-09,8.25944259350466e-07
0.08000000000000002,2.5682765594879596e-09,7.275303881176473e-07
0.08083333333333334,2.088408064542734e-09,6.272614012924144e-07
0.08166666666666667,1.6945644508933403e-09,5.257374150884263e-07
0.08250000000000002,1.3720501240329256e-09,4.235357056827006e-07
0.08333333333333334,1.1085391091948194e-09,3.212072723760385e-07
0.08416666666666667,8.937194673502042e-10,2.1927395240653372e-07
0.08500000000000002,7.189862295898263e-10,1.1822606859311164e-07
0.08583333333333334,5.771770889426691e-10,1.852058650338091e-08
0.08666666666666667,4.6234562290179027e-10,-7.942024596365502e-08
0.0875,3.6956733114749177e-10,-1.7520980680223896e-07
0.08833333333333335,2.947742568115929e-10,-2.684975886024526e-07
0.08916666666666667,2.346144131240294e-10,-3.5896930219060317e-07
0.09,1.8633265860393355e-10,-4.4634663084605465e-07
0.09083333333333335,1.4767005226040338e-10,-5.303866713242234e-07
0.09166666666666667,1.1677907551158401e-10,-6.108810979767467e-07
0.0925,9.215243031355749e-11,-6.876550858393577e-07
0.09333333333333335,7.25634144095312e-11,-7.605660277039303e-07
0.09416666666666668,5.70161361344723e-11,-8.295020789711464e-07
0.095,4.470406457566287e-11,-8.943805625402098e-07
0.09583333333333335,3.497561800416229e-11,-9.551462641966964e-07
0.09666666666666668,2.7305676361754308e-11,-1.0117696469613364e-06
0.0975,2.1272064253509145e-11,-1.0642450107109875e-06
0.09833333333333333,1.6536191383156138e-11,-1.1125886211332273e-06
0.09916666666666668,1.2827159648500423e-11,-1.156836829766282e-06
0.1,9.928752075060435e-12,-1.1970442045557292e-06
